species,region,production_system,year,group,age_group,sex,ahle_component,cause,disease,disease_proportion,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Health cost,External,All causes,1.0,-185036.1859760656,9340.551350650496,-203343.66662334057,-166728.70532879065,2017-01-01,23.8661044574125,-7753.095454109428,391.3731026912288,-8520.186735384235,-6986.00417283462
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Health cost,Infectious,Brucellosis,0.0,-0.0,0.0,-0.0,0.0,2017-01-01,23.8661044574125,-0.0,0.0,-0.0,0.0
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Health cost,Infectious,Other Infectious,1.0,-185036.1859760656,9340.551350650496,-203343.66662334057,-166728.70532879065,2017-01-01,23.8661044574125,-7753.095454109428,391.3731026912288,-8520.186735384235,-6986.00417283462
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Health cost,Infectious,PPR,0.0,-0.0,0.0,-0.0,0.0,2017-01-01,23.8661044574125,-0.0,0.0,-0.0,0.0
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Health cost,Non-infectious,All conditions,1.0,-185036.1859760656,9340.551350650496,-203343.66662334057,-166728.70532879065,2017-01-01,23.8661044574125,-7753.095454109428,391.3731026912288,-8520.186735384235,-6986.00417283462
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Mortality,External,All causes,1.0,7658677.01272859,24107979.242192,-39592962.30196773,54910316.327424906,2017-01-01,23.8661044574125,320901.84748813935,1010134.6570912362,-1658962.0804106838,2300765.775386962
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Mortality,Infectious,Brucellosis,0.0,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Mortality,Infectious,Other Infectious,1.0,20458936.1078143,64010630.8605479,-105001900.37885958,145919772.59448817,2017-01-01,23.8661044574125,857238.186664352,2682072.8525164495,-4399624.60426789,6114100.977596593
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Mortality,Non-infectious,All conditions,1.0,7326612.8839293,23323006.5975922,-38386480.04735141,53039705.81521001,2017-01-01,23.8661044574125,306988.21824915585,977243.96703327,-1608409.9571360534,2222386.393634365
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Production loss,External,All causes,1.0,14795376.171847,25355400.1752393,-34901208.17162202,64491960.515316024,2017-01-01,23.8661044574125,619932.5993166744,1062402.1285285307,-1462375.572599246,2702240.7712325947
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Production loss,Infectious,Brucellosis,0.0,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Production loss,Infectious,Other Infectious,1.0,43893177.3525338,73977218.3250703,-101102170.564604,188888525.26967162,2017-01-01,23.8661044574125,1839142.9330604959,3099677.1365464274,-4236224.254570502,7914510.120691494
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
